,index,name
0,70,Châtelet
1,73,Cité
2,330,Saint-Michel
3,222,Odéon
4,323,Saint-Germain-des-Prés
5,334,Saint-Sulpice
6,333,Saint-Placide
7,208,Montparnasse Bienvenue
8,333,Saint-Placide
9,208,Montparnasse Bienvenue
10,361,Vavin
11,208,Montparnasse Bienvenue
12,207,Montparnasse Bienvenue
13,209,Montparnasse Bienvenue
14,101,Edgar Quinet
15,293,Raspail
16,101,Edgar Quinet
17,209,Montparnasse Bienvenue
18,232,Pasteur
19,348,Sèvres Lecourbe
20,45,Cambronne
21,348,Sèvres Lecourbe
22,45,Cambronne
23,348,Sèvres Lecourbe
24,232,Pasteur
25,231,Pasteur
26,231,Pasteur
27,368,Volontaires
28,360,Vaugirard
29,80,Convention
30,360,Vaugirard
31,80,Convention
32,274,Porte de Versailles
33,81,Corentin Celton
34,178,Mairie d'Issy
35,81,Corentin Celton
36,274,Porte de Versailles
37,80,Convention
38,360,Vaugirard
39,80,Convention
40,360,Vaugirard
41,368,Volontaires
42,231,Pasteur
43,106,Falguière
44,231,Pasteur
45,106,Falguière
46,206,Montparnasse Bienvenue
47,207,Montparnasse Bienvenue
48,206,Montparnasse Bienvenue
49,106,Falguière
50,206,Montparnasse Bienvenue
51,207,Montparnasse Bienvenue
52,113,Gaité
53,113,Gaité
54,234,Pernety
55,113,Gaité
56,234,Pernety
57,249,Plaisance
58,273,Porte de Vanves
59,187,Malakoff-Plateau de Vanves
60,188,Malakoff-Rue Étienne Dolet
61,72,Châtillon-Montrouge
62,188,Malakoff-Rue Étienne Dolet
63,72,Châtillon-Montrouge
64,188,Malakoff-Rue Étienne Dolet
65,187,Malakoff-Plateau de Vanves
66,273,Porte de Vanves
67,249,Plaisance
68,234,Pernety
69,113,Gaité
70,207,Montparnasse Bienvenue
71,206,Montparnasse Bienvenue
72,218,Notre-Dame-des-Champs
73,294,Rennes
74,347,Sèvres Babylone
75,308,Rue du Bac
76,347,Sèvres Babylone
77,346,Sèvres Babylone
78,174,Mabillon
79,221,Odéon
80,74,"Cluny, La Sorbonne"
81,195,Maubert Mutualité
82,47,Cardinal Lemoine
83,195,Maubert Mutualité
84,47,Cardinal Lemoine
85,148,Jussieu
86,117,Gare d'Austerlitz
87,148,Jussieu
88,47,Cardinal Lemoine
89,195,Maubert Mutualité
90,47,Cardinal Lemoine
91,195,Maubert Mutualité
92,47,Cardinal Lemoine
93,195,Maubert Mutualité
94,47,Cardinal Lemoine
95,47,Cardinal Lemoine
96,148,Jussieu
97,117,Gare d'Austerlitz
98,148,Jussieu
99,47,Cardinal Lemoine
100,195,Maubert Mutualité
101,74,"Cluny, La Sorbonne"
102,221,Odéon
103,174,Mabillon
104,346,Sèvres Babylone
105,347,Sèvres Babylone
106,308,Rue du Bac
107,338,Solférino
108,9,Assemblée Nationale
109,338,Solférino
110,308,Rue du Bac
111,347,Sèvres Babylone
112,346,Sèvres Babylone
113,358,Vaneau
114,346,Sèvres Babylone
115,358,Vaneau
116,99,Duroc
117,100,Duroc
118,321,Saint-Francois Xavier
119,100,Duroc
120,321,Saint-Francois Xavier
121,359,Varenne
122,137,Invalides
123,51,"Champs Élysées, Clémenceau"
124,202,Miromesnil
125,203,Miromesnil
126,317,Saint-Augustin
127,133,Havre Caumartin
128,317,Saint-Augustin
129,203,Miromesnil
130,332,Saint-Philippe du Roule
131,110,Franklin D. Roosevelt
132,2,Alma Marceau
133,139,Iéna
134,355,Trocadéro
135,306,Rue de la Pompe
136,157,La Muette
137,306,Rue de la Pompe
138,355,Trocadéro
139,306,Rue de la Pompe
140,157,La Muette
141,291,Ranelagh
142,141,Jasmin
143,291,Ranelagh
144,141,Jasmin
145,197,Michel Ange Auteuil
146,199,Michel Ange Molitor
147,104,Exelmans
148,271,Porte de Saint-Cloud
149,104,Exelmans
150,271,Porte de Saint-Cloud
151,104,Exelmans
152,271,Porte de Saint-Cloud
153,193,Marcel Sembat
154,25,Billancourt
155,193,Marcel Sembat
156,271,Porte de Saint-Cloud
157,193,Marcel Sembat
158,271,Porte de Saint-Cloud
159,193,Marcel Sembat
160,193,Marcel Sembat
161,25,Billancourt
162,25,Billancourt
163,253,Pont de Sèvres
164,25,Billancourt
165,193,Marcel Sembat
166,271,Porte de Saint-Cloud
167,104,Exelmans
168,199,Michel Ange Molitor
169,198,Michel Ange Molitor
170,52,Chardon Lagâche
171,201,Mirabeau
172,145,Javel
173,373,Église d'Auteuil
174,196,Michel Ange Auteuil
175,259,Porte d'Auteuil
176,36,"Boulogne, Jean Jaurès"
177,37,"Boulogne, Pont de Saint-Cloud, Rond Point Rhin et Danube"
178,36,"Boulogne, Jean Jaurès"
179,198,Michel Ange Molitor
180,52,Chardon Lagâche
181,201,Mirabeau
182,145,Javel
183,54,Charles Michels
184,11,Avenue Émile Zola
185,154,"La Motte Picquet, Grenelle"
186,349,Ségur
187,154,"La Motte Picquet, Grenelle"
188,349,Ségur
189,99,Duroc
190,100,Duroc
191,321,Saint-Francois Xavier
192,359,Varenne
193,137,Invalides
194,138,Invalides
195,138,Invalides
196,137,Invalides
197,51,"Champs Élysées, Clémenceau"
198,202,Miromesnil
199,326,Saint-Lazare
200,168,Liège
201,245,Place de Clichy
202,168,Liège
203,245,Place de Clichy
204,246,Place de Clichy
205,27,Blanche
206,246,Place de Clichy
207,302,Rome
208,366,Villiers
209,367,Villiers
210,189,Malesherbes
211,370,Wagram
212,189,Malesherbes
213,370,Wagram
214,286,Péreire
215,370,Wagram
216,286,Péreire
217,264,Porte de Champerret
218,171,Louise Michel
219,264,Porte de Champerret
220,171,Louise Michel
221,4,Anatole France
222,251,"Pont de Levallois, Bécon"
223,4,Anatole France
224,171,Louise Michel
225,264,Porte de Champerret
226,171,Louise Michel
227,4,Anatole France
228,171,Louise Michel
229,264,Porte de Champerret
230,286,Péreire
231,370,Wagram
232,189,Malesherbes
233,367,Villiers
234,103,Europe
235,103,Europe
236,327,Saint-Lazare
237,132,Havre Caumartin
238,327,Saint-Lazare
239,103,Europe
240,367,Villiers
241,366,Villiers
242,204,Monceau
243,85,Courcelles
244,351,Ternes
245,56,"Charles de Gaulle, Étoile"
